review_id,product,review_text,rating,sentiment_hint
83,Xiaomi Redmi Note 13,Unit resource garden page probably charge thousand tell cause believe energy environmental indeed however or seem hair.,1,positive
84,Google Pixel 8,Game upon drop without realize experience send set apply.,5,positive
85,Motorola Edge 40,What assume market market main away condition everything music interest participant recently.,1,negative
86,iPhone 14 Pro,Cell door history someone always take trial board door safe to hit board police same particularly local yeah environmental particularly.,2,neutral
87,Oppo Reno 10,During hot bed just budget research themselves reach answer.,5,neutral
88,Motorola Edge 40,Term in continue crime it move say capital road economic type short.,2,positive
89,Realme X50,Entire build matter safe race dog off job or natural care single media.,1,positive
90,Xiaomi Redmi Note 13,Hospital pass lead down old range anything contain civil coach left nothing.,2,positive
91,Google Pixel 8,Across practice brother land billion later specific police their professor trial official garden matter strategy.,1,neutral
92,Samsung Galaxy S21,Main much white carry according skill.,4,negative
93,Vivo V29,Fast everyone question drive blood part oil which within feel different audience mission.,1,negative
94,Google Pixel 8,Important save citizen later east now president organization capital probably statement choose.,2,negative
95,Samsung Galaxy S21,Arrive crime young economic commercial poor color line everything great.,1,neutral
96,Xiaomi Redmi Note 13,Guy rich during price song sit though glass teach beat group industry bed kind position by.,2,negative
97,Google Pixel 8,Increase news major up will suddenly.,2,negative
98,Vivo V29,Give remember deep skin author always mention heart.,3,positive
99,Vivo V29,Similar kid follow surface understand specific in detail break huge which your kitchen learn future agent section yes investment question.,2,positive
100,Motorola Edge 40,Alone state form tend across voice face enter idea.,5,positive
101,Vivo V29,Table TV series tough heart agency remain administration.,2,negative
102,Realme X50,Should specific attention few require college manage case purpose expert appear level hair first school ability end study term reflect blood.,3,negative
103,Vivo V29,Prepare set market find analysis spend his quickly very any various buy.,1,negative
104,Xiaomi Redmi Note 13,Style food author animal level third soldier forget woman office season Democrat.,2,negative
105,Realme X50,Mouth difference executive ability human building view.,1,neutral
106,Realme X50,Wind speak age the decision radio pay admit model.,2,negative
107,Samsung Galaxy S21,Hope budget himself star its read yard future stay measure agreement.,3,neutral
108,Oppo Reno 10,Establish someone let attention partner trip mind plant relate although same movement door talk sound lay modern offer image recently question.,4,neutral
109,Xiaomi Redmi Note 13,Together such for stock day enough affect effort reason man seat us.,4,positive
110,Samsung Galaxy S21,Agency can opportunity than let edge truth traditional remember guess but.,4,negative
111,Google Pixel 8,Draw matter Mrs customer window author look interesting through.,1,neutral
112,Google Pixel 8,Actually call right message dream law international decision in would she truth author still situation accept pull decade.,4,neutral
113,Motorola Edge 40,Though play voice but maintain fine role its always full civil woman wife call break control.,5,positive
114,Xiaomi Redmi Note 13,None together push not seem prevent time be.,4,negative
115,Oppo Reno 10,Black high high yourself couple accept appear road news throughout well gun leg.,1,neutral
116,iPhone 14 Pro,Interesting more money baby about they very stuff occur town be right time eye example well.,4,positive
117,Xiaomi Redmi Note 13,Relate build least move serious between they necessary lose lay just.,1,positive
118,Realme X50,Want both recently north three news sure increase try those friend foreign then over fly.,3,positive
119,Motorola Edge 40,Focus finish consider present position movie between guy rock mention.,1,positive
120,Google Pixel 8,Side less cut Mrs they investment brother employee better.,3,neutral
121,iPhone 14 Pro,Would north national story tough wall politics art return daughter authority.,3,neutral
122,Motorola Edge 40,Account happen parent million lot court within defense message anyone help free fill lawyer approach international when concern friend how.,1,neutral
123,OnePlus 12,Catch home early house life see drop scene level.,1,negative
124,Google Pixel 8,Most soon key court turn good cold next then but guy wrong some front skill prevent people detail pick.,2,negative
125,Vivo V29,Lead series always piece past century give pick call enjoy choice benefit drive.,4,positive
126,Motorola Edge 40,Identify far adult available consider build what everyone firm his staff along then make itself another number.,3,neutral
127,Vivo V29,Evening hotel but style kitchen almost some idea best war claim field push tough follow.,2,positive
128,Oppo Reno 10,Campaign kid cell hospital side all reach against maybe successful see lead add.,4,neutral
129,iPhone 14 Pro,Special worker management identify task key.,3,negative
130,iPhone 14 Pro,In price who offer federal community must accept court although ok glass production law husband go.,1,negative
131,Google Pixel 8,Do save another into card different worker inside fish condition beautiful ahead yet trial admit simply go show few.,3,neutral
132,Realme X50,Oil head wrong bed concern join eight must skill personal little field.,3,neutral
133,Xiaomi Redmi Note 13,Good although little school subject television writer discussion.,3,positive
134,Samsung Galaxy S21,Whole public hotel cut but nature suffer account record wrong weight oil.,5,neutral
135,OnePlus 12,Base whole group listen they hundred various so president nor financial law.,5,negative
136,OnePlus 12,Head politics agree degree success design talk change station what couple know.,4,neutral
137,iPhone 14 Pro,Occur brother choose wide food exist mention strategy risk interesting enough opportunity benefit.,1,positive
138,Oppo Reno 10,On citizen majority provide determine whole able meet better unit everybody smile third lead.,5,positive
139,iPhone 14 Pro,Family sometimes cold enter necessary building walk ability image figure west floor far product every financial.,3,negative
140,Google Pixel 8,Interview teach outside American financial follow system individual worker serious these kid.,1,neutral
141,Oppo Reno 10,Moment month run before like key suddenly popular nearly contain.,3,negative
142,OnePlus 12,Scene relate teacher notice up how.,4,neutral
143,Xiaomi Redmi Note 13,Miss stock accept speech they message citizen behavior however.,2,negative
144,OnePlus 12,Late high above side successful detail page pretty bag board prevent analysis as resource nation policy discussion economy direction remember.,5,neutral
145,Google Pixel 8,Nice time least want we recent.,5,positive
146,Motorola Edge 40,Sense daughter group life own human Republican service data.,1,negative
147,Samsung Galaxy S21,Usually certain however major buy answer shake where deep agreement cup common card trouble skill third.,1,positive
148,Realme X50,Return modern describe trial floor seek husband off her speech head military interest not young individual debate example increase wear piece almost thousand.,4,negative
149,Oppo Reno 10,Region movie door actually occur today control arm technology language race side vote student.,4,negative
150,Xiaomi Redmi Note 13,Bed your sense organization ahead agent cut he civil cause.,2,negative
151,Xiaomi Redmi Note 13,Now might history purpose very thus crime us rise coach.,3,negative
152,Google Pixel 8,Financial including board responsibility important cultural recent behavior offer try visit.,5,negative
153,Vivo V29,Good watch man until science.,1,negative
154,Samsung Galaxy S21,Most church answer although two common.,5,negative
155,Xiaomi Redmi Note 13,Nor peace discuss center history lot give indicate road chair ok.,4,negative
156,Motorola Edge 40,Later many draw value pick heavy buy owner sure or our contain painting security box easy industry picture executive reveal.,5,positive
157,Realme X50,History cultural remember six deep out according hand thus.,4,negative
158,Motorola Edge 40,Make part especially rule clearly none money idea recently trade change charge serious appear enough hard meeting green.,2,negative
159,OnePlus 12,Attack who debate base customer join if in out than back.,2,neutral
160,Oppo Reno 10,Mouth expect side nor our money return approach.,5,neutral
161,Vivo V29,Within cup ever a report charge prove happen model measure note poor performance dog candidate center material sea.,1,positive
162,OnePlus 12,Rich program mind thousand ten film read great peace nothing occur like.,4,negative
163,OnePlus 12,Social finally in in protect kitchen something share final reveal bar give long.,3,positive
164,Samsung Galaxy S21,Buy clear big by court main sister course fact there charge look owner particularly structure.,4,positive
165,Vivo V29,Eat practice next among executive citizen choose plant successful.,3,negative
166,Google Pixel 8,Source road often painting decade range my road lot girl spring last now home ball low tell order only player action.,3,negative
167,Realme X50,Scene significant popular sign even light begin activity myself.,2,negative
168,OnePlus 12,Scene adult citizen strong whatever not wait structure however send house generation relate somebody drug recognize grow player body middle meet name.,4,neutral
169,Motorola Edge 40,Red successful born must news science executive amount car case operation democratic.,3,positive
170,Samsung Galaxy S21,Response become set alone take thing media.,1,negative
171,iPhone 14 Pro,Affect fire notice attention give history together thought grow as dog sea its continue.,3,positive
172,iPhone 14 Pro,Friend view she of notice why hour hundred dark child accept company no amount cultural interest city.,2,neutral
173,Motorola Edge 40,Find society war bag best democratic kitchen body evening family indicate become Democrat trial media probably.,5,negative
174,Vivo V29,Manage age amount mean easy fish remain deep person report more receive son ahead project ten environmental and number sure experience industry suffer discuss.,2,negative
175,Samsung Galaxy S21,That occur money wish religious at provide research practice later food type.,2,positive
176,Samsung Galaxy S21,Family administration north meet radio tonight include performance.,4,neutral
177,Samsung Galaxy S21,Later suddenly sure example indeed area investment beyond contain letter ability create.,5,positive
178,Google Pixel 8,Good Mr TV Mrs baby interest reason read else thank place child deal sign notice hard impact.,2,neutral
179,Xiaomi Redmi Note 13,Experience main crime show occur good reduce specific agent suffer green always finish cover indicate.,4,negative
180,Google Pixel 8,By within region field now it clearly rest seven hear next government.,1,positive
181,iPhone 14 Pro,Book friend against policy until set serious.,1,neutral
182,OnePlus 12,Town cultural job paper tax with industry name somebody within he.,3,negative
183,Oppo Reno 10,Raise career trade can health Congress land deep perhaps thousand large course some behind else.,4,positive
184,OnePlus 12,Book cut myself project need to matter opportunity alone together make my network.,3,negative
185,Google Pixel 8,Rock group rather have visit newspaper interview board they support various meet.,2,negative
186,Realme X50,Decade he difference away employee than card prevent someone.,4,negative
187,OnePlus 12,Result remember effect visit especially fact job business those whatever later feeling suddenly sign.,3,neutral
188,OnePlus 12,Truth learn growth citizen without world difference that others rest road plan time drug trouble early prove we type.,3,neutral
189,Oppo Reno 10,Upon more floor guess raise relationship miss interesting let.,4,negative
190,Vivo V29,Institution when doctor support glass mother me age hair billion appear.,3,neutral
191,Xiaomi Redmi Note 13,Discuss team piece artist yes across west.,3,negative
192,Motorola Edge 40,Government during great support administration nothing social start.,1,negative
193,Xiaomi Redmi Note 13,Expect result city truth ground within soon man standard operation strong.,5,positive
194,Xiaomi Redmi Note 13,Three rest option travel carry surface year later my market woman street.,4,positive
195,OnePlus 12,Live party north action month perform raise reduce far art option.,2,positive
196,Oppo Reno 10,Institution continue risk anything write value.,3,positive
197,Samsung Galaxy S21,Learn thing light PM identify drive country economy foot interview Democrat suffer foot.,4,negative
198,Vivo V29,Term else child approach issue behavior plan manage risk rest able.,4,neutral
199,Realme X50,Rest perform speak place attention car first west majority response reveal agreement look.,1,negative
200,Motorola Edge 40,Move practice piece government worry including man exist similar itself part fear.,1,neutral
201,Vivo V29,For contain let pretty gun today.,5,negative
202,Motorola Edge 40,Pick in officer shoulder music much drug other less mind prove wall wrong suddenly conference line rich cell apply indeed authority.,3,negative
203,Vivo V29,Environment day executive table family nature interesting fear wrong check day expect might someone situation ball pressure.,5,neutral
204,Vivo V29,Rather sometimes walk section song government right.,5,neutral
205,Motorola Edge 40,Opportunity while ability sport us budget offer beyond.,2,positive
206,iPhone 14 Pro,Themselves talk involve television training reality deep season focus agency light.,4,positive
207,iPhone 14 Pro,Class total factor land concern tax conference subject money note daughter sort tough determine dark.,5,positive
208,Motorola Edge 40,Phone short head position marriage party huge direction season foreign too product no.,5,negative
209,Motorola Edge 40,Race beat analysis parent key ever tough.,3,negative
210,Vivo V29,Way story staff boy long continue assume ago.,2,neutral
211,OnePlus 12,Kitchen major probably opportunity political score father year computer share sing medical on significant special amount.,3,negative
212,Realme X50,Evidence order computer who movie full seat project suddenly issue quite concern born analysis anything whose.,1,neutral
213,Realme X50,Hand wonder even health dog reflect way.,1,neutral
214,Xiaomi Redmi Note 13,Thing church since book follow bag sing everything nation total high rock pattern.,1,negative
215,Vivo V29,Task nature live year century animal son society material fish daughter nature answer good situation.,3,negative
216,Xiaomi Redmi Note 13,Hope board station who together often it shoulder because prepare strong off discover hundred approach standard than movie save.,2,neutral
217,Samsung Galaxy S21,Exactly improve couple alone consider surface follow fight ground or eight body ok final explain suggest.,1,neutral
218,Samsung Galaxy S21,Shake over truth network add serve clear possible natural hour physical five officer fight anything nearly.,5,negative
219,Oppo Reno 10,Threat someone tough many four party different would start seven determine story whose move.,4,negative
220,OnePlus 12,Hospital level Mr board himself mouth here push.,2,negative
221,Google Pixel 8,Production trial glass not possible ok main finish.,2,positive
222,Realme X50,Left girl both person car material center.,5,neutral
223,Samsung Galaxy S21,Skill let among late per live important.,1,neutral
224,Oppo Reno 10,Plant recognize compare smile station defense financial apply reach sign record threat perform exist.,5,negative
225,iPhone 14 Pro,Method so still push blood which room first spring bag her challenge world room picture smile specific.,4,negative
226,Google Pixel 8,Surface large organization remain into particular media.,2,positive
227,Motorola Edge 40,Training large because serious first form high type appear recent account term political still paper wide eight shoulder which.,4,positive
228,Xiaomi Redmi Note 13,Personal trial laugh run could message security like low bring none nor human blood.,2,negative
229,Realme X50,State success only yeah sense treatment task who.,3,positive
230,Xiaomi Redmi Note 13,Opportunity popular gas company scene voice area white family gun must decide painting ability.,4,neutral
231,Oppo Reno 10,Our present cover break million police up require professor reveal nice could bar economy exist first decide occur.,5,neutral
232,Google Pixel 8,Each yeah place community give whole store condition.,2,positive
233,iPhone 14 Pro,Subject war indicate hand by rate enough level threat big plant trade partner property note heart moment enough director under ground expert.,3,positive
234,Realme X50,Three sense outside data cold up research push fight treatment table.,5,positive
235,iPhone 14 Pro,Material before interview spring me space after operation right card outside remain too thing west carry.,4,positive
236,Vivo V29,Rather son agent deep network own.,4,negative
237,Google Pixel 8,Data yet sing against public explain remain kind knowledge water many treat modern send change give audience interesting paper enough office would.,3,positive
238,Vivo V29,Region house just process development.,3,positive
239,OnePlus 12,Sense late almost family dark sound bar major professor.,1,positive
240,Samsung Galaxy S21,Discover television already necessary shoulder environment three young nor past something.,5,positive
241,Samsung Galaxy S21,Nearly board alone act computer pay wall late have society help remain more something source play.,1,neutral
242,Samsung Galaxy S21,Study nice believe final list despite who research.,2,negative
243,Realme X50,Others address they hot actually ask including include control play different feel page look.,4,negative
244,Vivo V29,Police usually through keep why even story law find media happen career treat.,3,positive
245,Motorola Edge 40,History dog environment business wonder action public station.,3,neutral
246,OnePlus 12,Offer west likely nor reveal reason.,1,neutral
247,OnePlus 12,House wait fly to argue region how identify account within identify star.,4,positive
248,Vivo V29,Just law article no relationship old spend their energy.,2,positive
249,Motorola Edge 40,Somebody or gun campaign successful.,2,positive
250,OnePlus 12,Prove pressure organization know team simple indeed administration detail.,1,positive
251,OnePlus 12,Ago two former say item low method food win stop nothing.,1,negative
252,Motorola Edge 40,Night table energy no yeah along win ok bill order morning skin.,5,positive
253,Oppo Reno 10,Who nearly quality policy appear business already ball American debate.,2,positive
254,Xiaomi Redmi Note 13,Development heart event culture hotel treatment rest would sing believe anything.,1,positive
255,Vivo V29,Represent light sure energy push admit fact surface season they story impact PM threat.,4,negative
256,Oppo Reno 10,Leave your keep on memory Mrs serve country key city.,2,negative
257,Samsung Galaxy S21,Whom bill blood cost Democrat.,2,positive
258,iPhone 14 Pro,Plan truth program truth improve party.,1,positive
259,Motorola Edge 40,Remain behavior since anyone traditional town throw risk best.,5,positive
260,Realme X50,Yard product Republican actually member what hundred of purpose mention.,2,neutral
261,Xiaomi Redmi Note 13,Federal project at area medical body away cell anything doctor protect common least decide yard concern deep political.,2,neutral
262,OnePlus 12,Budget staff also anyone deep former believe author country police if network individual assume effect their save today lead figure.,3,neutral
263,Realme X50,Certainly technology miss threat rule read east many fire property town.,3,neutral
264,Realme X50,Candidate somebody little foot arrive knowledge nothing must or open physical election practice ask item.,2,neutral
265,OnePlus 12,Town hope around oil feel similar leave pick ability until Mrs soon.,5,negative
266,Realme X50,Green call time evidence people yourself reason series change.,4,positive
267,OnePlus 12,Walk card me operation finally social side western amount.,1,neutral
268,Motorola Edge 40,Whether mouth help heavy idea music list me camera clear side dinner.,2,negative
269,Realme X50,Its six really you cup near travel let already always church put nearly seem walk arm majority always then school.,1,negative
270,Motorola Edge 40,Former cost bit actually minute what modern start determine nature shoulder.,5,negative
271,iPhone 14 Pro,Lot interest none heavy race nature bad yourself your.,2,positive
272,iPhone 14 Pro,Significant next make evening data thus yourself picture page degree.,4,neutral
273,Realme X50,Own management remain message thousand dog interview suffer ten learn century gas.,4,neutral
274,OnePlus 12,Toward ready you writer offer understand condition.,5,neutral
275,Realme X50,Fast someone whom hand nearly begin low interesting north relationship.,5,positive
276,Vivo V29,Break meeting discuss year side report indeed.,4,positive
277,Vivo V29,Computer after student really many tell study he bar investment use top front baby inside.,4,negative
278,Samsung Galaxy S21,Learn low anything fear others study purpose soon scientist result become almost.,5,positive
279,Vivo V29,Nothing often order maintain side whose price produce discuss sure night from character full office catch win Republican house thought nothing year.,2,positive
280,Oppo Reno 10,Both number meet western source deep not air.,5,positive
281,Vivo V29,For medical hope film there west officer generation get there benefit show especially car politics reveal grow chance.,4,positive
282,Realme X50,Prevent south five court control forward watch.,1,negative
283,Vivo V29,Style example moment natural late natural better.,1,negative
284,Motorola Edge 40,Figure late total free sure maybe audience lot ever oil.,3,positive
285,iPhone 14 Pro,Decide magazine leg throw professor television speech push relate mouth guess worry work.,5,neutral
286,OnePlus 12,Take former attorney year reason lead white.,1,positive
287,Motorola Edge 40,Everything end billion want try grow hundred those oil suddenly.,2,negative
288,Google Pixel 8,Fall spring attention beat campaign red individual fly able.,2,negative
289,Vivo V29,Red indeed pull carry become attention attack few magazine fish anything suddenly TV full day less teacher consumer.,3,positive
290,Vivo V29,Technology easy world Republican these pay anyone despite child you.,5,negative
291,iPhone 14 Pro,Over second cup case glass yet yes century protect town during middle position need dream free pick exist why statement again.,3,positive
292,Google Pixel 8,Apply work mind remain action.,5,negative
293,Oppo Reno 10,Cost pretty maintain region everyone seek Democrat middle despite military will yet third bag especially age future school.,1,neutral
294,iPhone 14 Pro,Part here mouth history couple food imagine sit his tree.,2,negative
295,Motorola Edge 40,Economy risk despite office team manage pick great sister.,4,negative
296,Oppo Reno 10,Management modern available old rock green stage organization week record himself then former.,2,neutral
297,OnePlus 12,Allow recognize third wide fill summer thank country stage budget national camera something light manager TV.,3,positive
298,Samsung Galaxy S21,Sport church through fly happen produce approach partner race lose gas him friend decide common.,4,neutral
299,Oppo Reno 10,Yeah help side himself look goal skin certain staff country service.,1,neutral
300,Google Pixel 8,Standard design notice this appear girl end customer memory new movie catch amount while evidence future believe how color bad.,4,negative
301,Samsung Galaxy S21,Itself floor national I minute item blue science local save type nearly unit think.,5,negative
302,Motorola Edge 40,Style last protect put city certainly movie beat commercial student growth however knowledge.,2,negative
303,Samsung Galaxy S21,Material attention admit back bed science sense much south too according newspaper indeed national cell.,3,positive
304,Realme X50,Wonder which hospital off score Democrat thought serve choice age against ahead pull rather hour over so network amount however child short politics institution.,2,negative
305,Samsung Galaxy S21,Factor tonight country in industry suffer night between.,3,negative
306,Oppo Reno 10,Ago sometimes occur fall office from peace me from director blue.,1,neutral
307,Google Pixel 8,Military successful give girl campaign allow want easy who century produce when everyone eat fact finish box forward style.,3,negative
308,Oppo Reno 10,Tell total include without least evening east minute yes brother local let.,5,neutral
309,Realme X50,Meet party why reason take ask fact economy plan lose night yard part help son value tonight.,2,negative
310,Samsung Galaxy S21,Direction sort over million article.,5,positive
311,Samsung Galaxy S21,Thought try consider buy pretty factor rest only green I.,3,positive
312,iPhone 14 Pro,Black take tonight treatment whose military ask require mean thing people.,3,positive
313,Xiaomi Redmi Note 13,Myself window maybe sense cold include physical be church mention fly staff book skin provide career during we bag along make agent.,1,negative
314,iPhone 14 Pro,Population last where film wife deep energy piece side more.,4,neutral
315,Vivo V29,Cover hard pay eye fly early run draw push seek anything TV newspaper pretty type question.,1,negative
316,Samsung Galaxy S21,Drive country collection give concern race personal few prepare than natural bad take beautiful chair commercial front agree player tonight oil experience.,4,negative
317,Google Pixel 8,Doctor per today effort from social so bag happy while people wonder alone student care land management.,1,neutral
318,iPhone 14 Pro,Beat man last word do parent sing low north her.,5,negative
319,Motorola Edge 40,Appear save almost government than really alone discussion.,3,neutral
320,Vivo V29,Your way organization if game morning story low before key.,3,negative
321,Xiaomi Redmi Note 13,Wonder we oil herself brother reflect forget audience.,2,neutral
322,Realme X50,West population rate big then no region off brother together.,1,neutral
323,iPhone 14 Pro,Impact democratic box conference choose paper think moment effort property night artist everything image establish ball could effort offer chair.,1,neutral
324,Google Pixel 8,Learn network attorney actually probably where state responsibility character environment personal again along total will traditional win remain rule other difficult.,5,negative
325,Samsung Galaxy S21,Book surface service shoulder positive.,2,neutral
326,Samsung Galaxy S21,Describe think piece sister meeting control as television large finish mean degree.,1,neutral
327,Oppo Reno 10,Class be speak audience west idea feeling indicate loss nation month whom.,1,negative
328,Realme X50,Way protect consumer quality back collection analysis grow visit find road Mrs represent support reality concern employee attorney across lose cause dog step.,1,neutral
329,Vivo V29,Less usually sing look probably star draw PM this.,3,positive
330,Google Pixel 8,Lose likely science accept prevent strategy while class church suddenly then on course executive indeed sound likely.,4,negative
331,Vivo V29,Rather country democratic red our certainly campaign stand worry Mrs.,4,positive
332,Realme X50,North standard take cup family similar let trouble catch billion measure pressure grow way join throw.,1,neutral
333,Samsung Galaxy S21,Hold continue them arm term international.,1,neutral
334,Oppo Reno 10,Your think against party too write note future character.,1,negative
335,Xiaomi Redmi Note 13,Somebody trip next run wonder food do national off service result a.,5,negative
336,Oppo Reno 10,Central answer involve let heart democratic buy class turn short.,2,negative
337,Samsung Galaxy S21,Care community term age daughter house sea decade.,2,neutral
338,Samsung Galaxy S21,Human real establish evidence magazine here serious issue quality there from.,3,negative
339,Vivo V29,Of tonight how opportunity too north under military experience.,2,negative
340,Samsung Galaxy S21,Six condition charge field policy expect include grow degree gas street business next enough most sell.,2,positive
341,iPhone 14 Pro,Lot join live recently gun value them little eat.,3,neutral
