review_id,review_text,sentiment_hint
64,"Camera quality is mediocre, especially indoors. Call quality is excellent. Phone design is sleek and comfortable to hold.",Negative
65,Audio output is weak and lacks bass.,Neutral
66,"Build quality feels premium and sturdy. Camera quality is mediocre, especially indoors.",Positive
67,Sound crackles at high volume.,Neutral
68,The display is bright and vibrant.,Positive
69,The display is bright and vibrant.,Neutral
70,Build quality feels premium and sturdy. Speakers are loud and clear.,Neutral
71,Charging is slow compared to competitors. Multitasking works flawlessly.,Positive
72,Colors on the screen look washed out. Phone design is sleek and comfortable to hold. Phone lags when running heavy apps.,Negative
73,The camera performs exceptionally well in daylight.,Neutral
74,Charging is slow compared to competitors.,Negative
75,Night mode camera shots look impressive. Display feels dim under sunlight. Performance is super smooth with no lag.,Negative
76,Speakers are loud and clear.,Neutral
77,Display feels dim under sunlight. Performance is super smooth with no lag.,Negative
78,Phone design is sleek and comfortable to hold. Speakers are loud and clear.,Neutral
79,Feels slightly bulky in hand. Camera tends to overexpose images sometimes. Phone lags when running heavy apps.,Positive
80,Performance is super smooth with no lag.,Negative
81,Multitasking works flawlessly. Smooth display experience because of high refresh rate. Charging is slow compared to competitors.,Negative
82,Audio output is weak and lacks bass. Display feels dim under sunlight.,Negative
83,"Smooth display experience because of high refresh rate. Camera quality is mediocre, especially indoors.",Negative
84,Phone design is sleek and comfortable to hold. Call quality is excellent. Battery drains faster than expected.,Positive
85,Charging is slow compared to competitors. Display feels dim under sunlight.,Positive
86,Night mode camera shots look impressive. Audio output is weak and lacks bass. Battery heats up during gaming sessions.,Positive
87,Battery drains faster than expected. The camera performs exceptionally well in daylight. Smooth display experience because of high refresh rate.,Negative
88,The display is bright and vibrant. Battery backup is solid and lasts all day.,Negative
89,"Camera quality is mediocre, especially indoors. Battery backup is solid and lasts all day. Performance is super smooth with no lag.",Negative
90,The display is bright and vibrant. Gaming performance is average.,Neutral
91,The back panel attracts fingerprints easily.,Positive
92,Camera tends to overexpose images sometimes.,Positive
93,Multitasking works flawlessly.,Negative
94,"Camera quality is mediocre, especially indoors. Speakers are loud and clear. Battery heats up during gaming sessions.",Neutral
95,The display is bright and vibrant.,Negative
96,Battery drains faster than expected.,Positive
97,Feels slightly bulky in hand. Sound crackles at high volume. Colors on the screen look washed out.,Negative
98,Battery drains faster than expected. Call quality is excellent.,Positive
99,Gaming performance is average. Speakers are loud and clear. Battery backup is solid and lasts all day.,Neutral
100,The back panel attracts fingerprints easily. Gaming performance is average.,Negative
101,Call quality is excellent. The display is bright and vibrant.,Negative
102,Display feels dim under sunlight. Phone design is sleek and comfortable to hold.,Negative
103,Performance is super smooth with no lag. Battery backup is solid and lasts all day.,Neutral
104,Phone design is sleek and comfortable to hold.,Negative
105,Battery heats up during gaming sessions. Gaming performance is average.,Positive
106,Camera tends to overexpose images sometimes. Battery drains faster than expected.,Neutral
107,Build quality feels premium and sturdy.,Positive
108,Gaming performance is average. Charging is slow compared to competitors.,Neutral
109,The camera performs exceptionally well in daylight. Gaming performance is average. The back panel attracts fingerprints easily.,Positive
110,Camera tends to overexpose images sometimes.,Positive
111,Multitasking works flawlessly.,Negative
112,Phone lags when running heavy apps. The camera performs exceptionally well in daylight. Call quality is excellent.,Negative
113,The camera performs exceptionally well in daylight. Display feels dim under sunlight. Battery drains faster than expected.,Neutral
114,Colors on the screen look washed out. Phone lags when running heavy apps. Build quality feels premium and sturdy.,Positive
115,Multitasking works flawlessly. Smooth display experience because of high refresh rate. Audio output is weak and lacks bass.,Positive
116,Colors on the screen look washed out. The back panel attracts fingerprints easily.,Negative
117,Performance is super smooth with no lag. Battery heats up during gaming sessions. Speakers are loud and clear.,Positive
118,Display feels dim under sunlight.,Neutral
119,Battery heats up during gaming sessions. Feels slightly bulky in hand. Sound crackles at high volume.,Positive
120,Build quality feels premium and sturdy. Battery heats up during gaming sessions. Multitasking works flawlessly.,Negative
121,Battery drains faster than expected. Sound crackles at high volume. Smooth display experience because of high refresh rate.,Neutral
122,Smooth display experience because of high refresh rate.,Positive
123,Call quality is excellent.,Positive
124,The back panel attracts fingerprints easily.,Negative
125,Build quality feels premium and sturdy. Multitasking works flawlessly. Sound crackles at high volume.,Negative
126,Multitasking works flawlessly. Sound crackles at high volume.,Positive
127,The back panel attracts fingerprints easily.,Neutral
128,Phone design is sleek and comfortable to hold.,Negative
129,The back panel attracts fingerprints easily.,Positive
130,"Camera quality is mediocre, especially indoors. Audio output is weak and lacks bass. Battery backup is solid and lasts all day.",Negative
131,Phone lags when running heavy apps. Phone design is sleek and comfortable to hold. Audio output is weak and lacks bass.,Neutral
132,Audio output is weak and lacks bass. Smooth display experience because of high refresh rate.,Neutral
133,Phone design is sleek and comfortable to hold. Night mode camera shots look impressive. Colors on the screen look washed out.,Negative
134,Colors on the screen look washed out.,Negative
135,Colors on the screen look washed out. Performance is super smooth with no lag.,Neutral
136,"Battery heats up during gaming sessions. Call quality is excellent. Camera quality is mediocre, especially indoors.",Negative
137,Display feels dim under sunlight. Battery backup is solid and lasts all day.,Positive
138,The back panel attracts fingerprints easily. Speakers are loud and clear.,Neutral
139,Battery backup is solid and lasts all day. Feels slightly bulky in hand. Multitasking works flawlessly.,Positive
140,"The back panel attracts fingerprints easily. Performance is super smooth with no lag. Camera quality is mediocre, especially indoors.",Negative
141,Speakers are loud and clear.,Negative
142,Battery heats up during gaming sessions. Performance is super smooth with no lag. Call quality is excellent.,Neutral
143,Smooth display experience because of high refresh rate. Charging is slow compared to competitors.,Neutral
144,Build quality feels premium and sturdy. Charging is slow compared to competitors. Audio output is weak and lacks bass.,Negative
145,Battery heats up during gaming sessions. Audio output is weak and lacks bass. Gaming performance is average.,Positive
146,Display feels dim under sunlight.,Neutral
147,Battery heats up during gaming sessions. Sound crackles at high volume. Multitasking works flawlessly.,Negative
148,Colors on the screen look washed out. Call quality is excellent.,Negative
149,"Camera quality is mediocre, especially indoors.",Neutral
150,Sound crackles at high volume.,Neutral
151,Multitasking works flawlessly. Charging is slow compared to competitors.,Positive
152,Multitasking works flawlessly. Sound crackles at high volume.,Negative
153,Speakers are loud and clear.,Negative
154,Build quality feels premium and sturdy.,Positive
155,Multitasking works flawlessly. Build quality feels premium and sturdy.,Neutral
156,Camera tends to overexpose images sometimes. Sound crackles at high volume. Phone design is sleek and comfortable to hold.,Negative
157,The camera performs exceptionally well in daylight.,Neutral
158,Call quality is excellent. The camera performs exceptionally well in daylight. Performance is super smooth with no lag.,Positive
159,Night mode camera shots look impressive. Gaming performance is average. Battery drains faster than expected.,Negative
160,Feels slightly bulky in hand. Battery drains faster than expected. The camera performs exceptionally well in daylight.,Positive
161,The back panel attracts fingerprints easily. Camera tends to overexpose images sometimes. Performance is super smooth with no lag.,Neutral
162,The camera performs exceptionally well in daylight.,Negative
163,Gaming performance is average.,Positive
164,Night mode camera shots look impressive. The display is bright and vibrant. Charging is slow compared to competitors.,Negative
165,The camera performs exceptionally well in daylight. Phone lags when running heavy apps.,Negative
166,The display is bright and vibrant.,Positive
167,Audio output is weak and lacks bass. Battery backup is solid and lasts all day. The back panel attracts fingerprints easily.,Negative
168,Phone lags when running heavy apps. The camera performs exceptionally well in daylight.,Neutral
169,Colors on the screen look washed out. Performance is super smooth with no lag.,Negative
170,The camera performs exceptionally well in daylight. Phone lags when running heavy apps.,Neutral
171,"Phone lags when running heavy apps. Audio output is weak and lacks bass. Camera quality is mediocre, especially indoors.",Neutral
172,Battery heats up during gaming sessions. Display feels dim under sunlight.,Neutral
173,Performance is super smooth with no lag. Call quality is excellent.,Neutral
174,Feels slightly bulky in hand. Smooth display experience because of high refresh rate.,Neutral
175,Night mode camera shots look impressive. Battery drains faster than expected. Performance is super smooth with no lag.,Positive
176,Gaming performance is average. Battery heats up during gaming sessions. Call quality is excellent.,Neutral
177,The back panel attracts fingerprints easily. Smooth display experience because of high refresh rate.,Positive
178,"Battery drains faster than expected. Build quality feels premium and sturdy. Camera quality is mediocre, especially indoors.",Positive
179,Battery backup is solid and lasts all day. Call quality is excellent. Gaming performance is average.,Neutral
180,The back panel attracts fingerprints easily. The display is bright and vibrant.,Negative
181,Smooth display experience because of high refresh rate. The back panel attracts fingerprints easily. Performance is super smooth with no lag.,Positive
182,The back panel attracts fingerprints easily. Charging is slow compared to competitors.,Neutral
183,Camera tends to overexpose images sometimes.,Negative
184,Colors on the screen look washed out.,Neutral
185,Call quality is excellent. Night mode camera shots look impressive.,Neutral
186,Battery drains faster than expected. Multitasking works flawlessly. Display feels dim under sunlight.,Negative
187,Charging is slow compared to competitors. The camera performs exceptionally well in daylight.,Neutral
188,Call quality is excellent.,Negative
189,Build quality feels premium and sturdy.,Neutral
190,Feels slightly bulky in hand. Call quality is excellent.,Positive
191,Call quality is excellent. The camera performs exceptionally well in daylight.,Neutral
192,Phone lags when running heavy apps. Charging is slow compared to competitors. Speakers are loud and clear.,Neutral
193,Speakers are loud and clear.,Negative
194,"Display feels dim under sunlight. Camera quality is mediocre, especially indoors.",Neutral
195,Phone design is sleek and comfortable to hold. Battery backup is solid and lasts all day. Sound crackles at high volume.,Positive
196,Sound crackles at high volume. Camera tends to overexpose images sometimes. Smooth display experience because of high refresh rate.,Positive
197,Audio output is weak and lacks bass. Colors on the screen look washed out.,Negative
198,"Camera quality is mediocre, especially indoors.",Negative
199,Battery backup is solid and lasts all day. Night mode camera shots look impressive.,Negative
200,Feels slightly bulky in hand.,Neutral
201,The display is bright and vibrant.,Negative
202,Battery drains faster than expected. Build quality feels premium and sturdy.,Neutral
203,Colors on the screen look washed out. Phone design is sleek and comfortable to hold.,Positive
204,Performance is super smooth with no lag. Camera tends to overexpose images sometimes.,Positive
205,"Camera quality is mediocre, especially indoors. Build quality feels premium and sturdy.",Negative
206,Feels slightly bulky in hand. Battery backup is solid and lasts all day.,Positive
207,Performance is super smooth with no lag. Sound crackles at high volume.,Neutral
208,Camera tends to overexpose images sometimes. Feels slightly bulky in hand. Phone lags when running heavy apps.,Positive
209,Sound crackles at high volume. The back panel attracts fingerprints easily.,Negative
210,Call quality is excellent. Performance is super smooth with no lag.,Positive
211,Phone lags when running heavy apps. Call quality is excellent.,Positive
212,The camera performs exceptionally well in daylight. Display feels dim under sunlight.,Positive
213,Speakers are loud and clear. The display is bright and vibrant.,Positive
214,Charging is slow compared to competitors. The display is bright and vibrant.,Negative
215,Gaming performance is average. Battery heats up during gaming sessions. The display is bright and vibrant.,Negative
216,Feels slightly bulky in hand. The camera performs exceptionally well in daylight.,Neutral
217,Audio output is weak and lacks bass.,Neutral
218,Camera tends to overexpose images sometimes. Speakers are loud and clear. Feels slightly bulky in hand.,Neutral
219,Build quality feels premium and sturdy. Phone lags when running heavy apps. The camera performs exceptionally well in daylight.,Neutral
220,Battery backup is solid and lasts all day.,Neutral
221,Gaming performance is average. Battery heats up during gaming sessions.,Neutral
222,Phone design is sleek and comfortable to hold. Camera tends to overexpose images sometimes. Call quality is excellent.,Negative
223,Speakers are loud and clear. Battery backup is solid and lasts all day.,Negative
224,Feels slightly bulky in hand. Smooth display experience because of high refresh rate. Speakers are loud and clear.,Positive
225,Performance is super smooth with no lag. Smooth display experience because of high refresh rate. Battery backup is solid and lasts all day.,Positive
226,Smooth display experience because of high refresh rate. Audio output is weak and lacks bass.,Neutral
227,"Smooth display experience because of high refresh rate. Camera quality is mediocre, especially indoors. Gaming performance is average.",Negative
228,Battery backup is solid and lasts all day. Colors on the screen look washed out.,Negative
229,Display feels dim under sunlight. Feels slightly bulky in hand. Speakers are loud and clear.,Positive
230,Feels slightly bulky in hand. Display feels dim under sunlight.,Negative
231,Build quality feels premium and sturdy. Battery backup is solid and lasts all day.,Neutral
232,Phone design is sleek and comfortable to hold. Performance is super smooth with no lag.,Positive
233,Phone design is sleek and comfortable to hold. Call quality is excellent. Gaming performance is average.,Neutral
234,Performance is super smooth with no lag.,Neutral
235,Call quality is excellent.,Positive
236,Phone design is sleek and comfortable to hold.,Negative
237,Battery drains faster than expected. Audio output is weak and lacks bass. Colors on the screen look washed out.,Neutral
238,Battery drains faster than expected.,Neutral
239,"Camera quality is mediocre, especially indoors. Sound crackles at high volume.",Negative
240,Battery heats up during gaming sessions. Call quality is excellent.,Negative
241,The display is bright and vibrant.,Positive
242,Call quality is excellent. Night mode camera shots look impressive.,Neutral
243,The back panel attracts fingerprints easily. Colors on the screen look washed out.,Neutral
244,Phone lags when running heavy apps.,Negative
245,Speakers are loud and clear. Build quality feels premium and sturdy.,Neutral
246,Battery drains faster than expected.,Positive
247,Battery drains faster than expected. Phone lags when running heavy apps. The back panel attracts fingerprints easily.,Negative
248,Gaming performance is average. Audio output is weak and lacks bass. Battery heats up during gaming sessions.,Negative
249,Multitasking works flawlessly.,Neutral
250,"Camera quality is mediocre, especially indoors. Gaming performance is average. The display is bright and vibrant.",Neutral
251,Camera tends to overexpose images sometimes. Charging is slow compared to competitors.,Positive
252,Battery heats up during gaming sessions. Call quality is excellent.,Neutral
253,"Camera quality is mediocre, especially indoors. Battery drains faster than expected. Speakers are loud and clear.",Positive
254,Performance is super smooth with no lag.,Neutral
255,Charging is slow compared to competitors.,Neutral
256,Smooth display experience because of high refresh rate. Feels slightly bulky in hand.,Neutral
257,Colors on the screen look washed out. Build quality feels premium and sturdy.,Positive
258,Sound crackles at high volume. Build quality feels premium and sturdy.,Negative
259,Smooth display experience because of high refresh rate.,Positive
260,The camera performs exceptionally well in daylight. Feels slightly bulky in hand.,Neutral
261,Camera tends to overexpose images sometimes.,Negative
262,Multitasking works flawlessly. Sound crackles at high volume. Charging is slow compared to competitors.,Negative
263,The camera performs exceptionally well in daylight.,Negative
264,Build quality feels premium and sturdy. Colors on the screen look washed out.,Neutral
265,Gaming performance is average. The display is bright and vibrant. Battery heats up during gaming sessions.,Positive
266,Battery backup is solid and lasts all day. Camera tends to overexpose images sometimes.,Negative
267,Multitasking works flawlessly.,Neutral
268,Camera tends to overexpose images sometimes. The display is bright and vibrant.,Neutral
269,Camera tends to overexpose images sometimes. Battery heats up during gaming sessions.,Negative
270,Smooth display experience because of high refresh rate. Call quality is excellent.,Negative
271,Night mode camera shots look impressive. Battery heats up during gaming sessions.,Negative
272,Sound crackles at high volume.,Negative
273,The camera performs exceptionally well in daylight. Sound crackles at high volume. Colors on the screen look washed out.,Neutral
274,Display feels dim under sunlight. Battery backup is solid and lasts all day. The back panel attracts fingerprints easily.,Neutral
275,"Audio output is weak and lacks bass. Build quality feels premium and sturdy. Camera quality is mediocre, especially indoors.",Neutral
276,Battery backup is solid and lasts all day. Gaming performance is average. Call quality is excellent.,Neutral
277,Speakers are loud and clear. The display is bright and vibrant.,Neutral
278,The camera performs exceptionally well in daylight. Sound crackles at high volume.,Neutral
279,Build quality feels premium and sturdy.,Negative
280,The camera performs exceptionally well in daylight. Charging is slow compared to competitors. Performance is super smooth with no lag.,Neutral
281,Battery drains faster than expected.,Neutral
282,The camera performs exceptionally well in daylight. Battery drains faster than expected.,Neutral
283,Audio output is weak and lacks bass.,Neutral
284,Battery backup is solid and lasts all day.,Positive
285,"Camera quality is mediocre, especially indoors. Phone lags when running heavy apps. Phone design is sleek and comfortable to hold.",Positive
286,Speakers are loud and clear.,Negative
287,Display feels dim under sunlight.,Negative
288,Night mode camera shots look impressive. Display feels dim under sunlight. Multitasking works flawlessly.,Positive
289,Gaming performance is average.,Positive
290,"Camera quality is mediocre, especially indoors.",Negative
291,Night mode camera shots look impressive. Call quality is excellent.,Positive
292,Audio output is weak and lacks bass. Camera tends to overexpose images sometimes.,Positive
293,The camera performs exceptionally well in daylight. Battery heats up during gaming sessions.,Positive
294,Audio output is weak and lacks bass. Colors on the screen look washed out.,Positive
295,Gaming performance is average.,Neutral
296,Camera tends to overexpose images sometimes.,Neutral
297,Speakers are loud and clear.,Negative
298,Sound crackles at high volume.,Neutral
299,Call quality is excellent. Performance is super smooth with no lag. Smooth display experience because of high refresh rate.,Neutral
300,Camera tends to overexpose images sometimes. Colors on the screen look washed out.,Neutral
301,Battery heats up during gaming sessions. Gaming performance is average.,Positive
302,"Battery backup is solid and lasts all day. Camera quality is mediocre, especially indoors.",Positive
303,Battery drains faster than expected. Audio output is weak and lacks bass.,Positive
304,Phone design is sleek and comfortable to hold. Battery backup is solid and lasts all day.,Negative
305,Feels slightly bulky in hand. Audio output is weak and lacks bass.,Neutral
306,Battery heats up during gaming sessions. Performance is super smooth with no lag. Audio output is weak and lacks bass.,Neutral
307,Camera tends to overexpose images sometimes. Battery heats up during gaming sessions. Multitasking works flawlessly.,Negative
308,Build quality feels premium and sturdy. The camera performs exceptionally well in daylight.,Negative
309,Build quality feels premium and sturdy.,Positive
310,Call quality is excellent. Performance is super smooth with no lag. The display is bright and vibrant.,Positive
311,Performance is super smooth with no lag. Build quality feels premium and sturdy.,Positive
312,Battery backup is solid and lasts all day. Phone lags when running heavy apps. Feels slightly bulky in hand.,Negative
313,"The display is bright and vibrant. Build quality feels premium and sturdy. Camera quality is mediocre, especially indoors.",Positive
314,Performance is super smooth with no lag. The display is bright and vibrant. The camera performs exceptionally well in daylight.,Neutral
315,Charging is slow compared to competitors. Build quality feels premium and sturdy.,Neutral
316,Speakers are loud and clear. Feels slightly bulky in hand. Smooth display experience because of high refresh rate.,Positive
317,Charging is slow compared to competitors.,Neutral
318,Battery drains faster than expected. Multitasking works flawlessly.,Positive
319,Night mode camera shots look impressive. Build quality feels premium and sturdy. Display feels dim under sunlight.,Positive
320,Multitasking works flawlessly.,Negative
321,Multitasking works flawlessly.,Positive
322,Smooth display experience because of high refresh rate. Camera tends to overexpose images sometimes. Build quality feels premium and sturdy.,Positive
323,Gaming performance is average. Feels slightly bulky in hand.,Neutral
324,Speakers are loud and clear. Phone lags when running heavy apps.,Positive
325,Phone lags when running heavy apps.,Neutral
326,The back panel attracts fingerprints easily. The display is bright and vibrant.,Negative
327,Speakers are loud and clear.,Positive
328,Speakers are loud and clear. Build quality feels premium and sturdy. Charging is slow compared to competitors.,Positive
329,Night mode camera shots look impressive. Battery backup is solid and lasts all day.,Positive
330,The display is bright and vibrant.,Negative
331,Battery heats up during gaming sessions.,Negative
332,Audio output is weak and lacks bass. Multitasking works flawlessly.,Negative
333,Smooth display experience because of high refresh rate.,Positive
334,Night mode camera shots look impressive. Call quality is excellent.,Positive
335,Charging is slow compared to competitors.,Positive
336,The camera performs exceptionally well in daylight. Build quality feels premium and sturdy. Multitasking works flawlessly.,Positive
337,The camera performs exceptionally well in daylight. Battery backup is solid and lasts all day. The back panel attracts fingerprints easily.,Negative
338,Phone design is sleek and comfortable to hold. Camera tends to overexpose images sometimes.,Neutral
339,Gaming performance is average. Camera tends to overexpose images sometimes. The back panel attracts fingerprints easily.,Negative
340,Camera tends to overexpose images sometimes. Phone design is sleek and comfortable to hold. The display is bright and vibrant.,Neutral
341,Gaming performance is average.,Positive
342,Audio output is weak and lacks bass. Performance is super smooth with no lag. Feels slightly bulky in hand.,Positive
343,Charging is slow compared to competitors. Display feels dim under sunlight.,Neutral
344,Colors on the screen look washed out. Charging is slow compared to competitors.,Negative
345,Call quality is excellent. Phone design is sleek and comfortable to hold.,Negative
346,Multitasking works flawlessly. Audio output is weak and lacks bass.,Negative
347,Feels slightly bulky in hand. Speakers are loud and clear.,Negative
348,Smooth display experience because of high refresh rate. Battery heats up during gaming sessions.,Positive
349,Performance is super smooth with no lag. Display feels dim under sunlight. Battery heats up during gaming sessions.,Neutral
350,Display feels dim under sunlight. Night mode camera shots look impressive. Feels slightly bulky in hand.,Negative
351,"Camera quality is mediocre, especially indoors. Multitasking works flawlessly. Audio output is weak and lacks bass.",Neutral
352,Charging is slow compared to competitors. Phone design is sleek and comfortable to hold.,Positive
353,Speakers are loud and clear. Phone lags when running heavy apps.,Positive
354,Night mode camera shots look impressive. Battery heats up during gaming sessions. Colors on the screen look washed out.,Negative
355,Colors on the screen look washed out.,Negative
356,Battery backup is solid and lasts all day. The camera performs exceptionally well in daylight.,Negative
357,Night mode camera shots look impressive.,Positive
358,Feels slightly bulky in hand.,Positive
359,Smooth display experience because of high refresh rate. Sound crackles at high volume.,Neutral
360,Build quality feels premium and sturdy.,Positive
361,Battery drains faster than expected. Gaming performance is average.,Negative
362,Phone lags when running heavy apps.,Positive
363,The back panel attracts fingerprints easily. Sound crackles at high volume. Phone lags when running heavy apps.,Positive
364,The display is bright and vibrant. Battery heats up during gaming sessions.,Negative
365,Night mode camera shots look impressive.,Positive
366,Phone lags when running heavy apps.,Positive
367,"Performance is super smooth with no lag. Feels slightly bulky in hand. Camera quality is mediocre, especially indoors.",Positive
368,Night mode camera shots look impressive. Sound crackles at high volume.,Neutral
369,Multitasking works flawlessly.,Neutral
370,Colors on the screen look washed out. Battery backup is solid and lasts all day. Camera tends to overexpose images sometimes.,Neutral
371,Battery heats up during gaming sessions. Gaming performance is average.,Negative
372,Camera tends to overexpose images sometimes. Speakers are loud and clear.,Positive
373,Smooth display experience because of high refresh rate. Camera tends to overexpose images sometimes.,Negative
374,Phone lags when running heavy apps.,Negative
375,The back panel attracts fingerprints easily. Call quality is excellent. Display feels dim under sunlight.,Neutral
376,Display feels dim under sunlight.,Negative
377,Charging is slow compared to competitors. Feels slightly bulky in hand.,Positive
378,The camera performs exceptionally well in daylight. Audio output is weak and lacks bass.,Positive
379,"Camera quality is mediocre, especially indoors. Battery drains faster than expected. Phone lags when running heavy apps.",Negative
380,Sound crackles at high volume. Smooth display experience because of high refresh rate.,Neutral
381,Performance is super smooth with no lag. The camera performs exceptionally well in daylight. Sound crackles at high volume.,Neutral
382,The display is bright and vibrant. Phone design is sleek and comfortable to hold.,Positive
383,Display feels dim under sunlight. Sound crackles at high volume.,Neutral
384,Night mode camera shots look impressive.,Positive
385,Gaming performance is average. Call quality is excellent. Battery backup is solid and lasts all day.,Negative
386,Night mode camera shots look impressive. Phone lags when running heavy apps.,Positive
387,Feels slightly bulky in hand. Speakers are loud and clear. Battery heats up during gaming sessions.,Negative
388,Multitasking works flawlessly.,Positive
389,Feels slightly bulky in hand. The display is bright and vibrant. Gaming performance is average.,Neutral
390,Night mode camera shots look impressive. Speakers are loud and clear. Smooth display experience because of high refresh rate.,Positive
391,Call quality is excellent. Battery backup is solid and lasts all day.,Neutral
392,Speakers are loud and clear. Smooth display experience because of high refresh rate.,Positive
393,Camera tends to overexpose images sometimes.,Positive
394,Battery heats up during gaming sessions.,Positive
395,Night mode camera shots look impressive. Call quality is excellent.,Positive
396,"Display feels dim under sunlight. Camera quality is mediocre, especially indoors.",Positive
397,Smooth display experience because of high refresh rate.,Neutral
398,Phone design is sleek and comfortable to hold.,Neutral
399,The camera performs exceptionally well in daylight.,Neutral
400,Battery drains faster than expected. Sound crackles at high volume.,Neutral
401,Colors on the screen look washed out. The back panel attracts fingerprints easily. Performance is super smooth with no lag.,Neutral
402,Gaming performance is average. Display feels dim under sunlight. Phone design is sleek and comfortable to hold.,Positive
403,Battery heats up during gaming sessions. Build quality feels premium and sturdy. The display is bright and vibrant.,Neutral
404,Charging is slow compared to competitors.,Neutral
405,Battery heats up during gaming sessions. Performance is super smooth with no lag.,Negative
406,Speakers are loud and clear.,Positive
407,Night mode camera shots look impressive. Performance is super smooth with no lag. Sound crackles at high volume.,Negative
408,Gaming performance is average. Speakers are loud and clear.,Neutral
409,Smooth display experience because of high refresh rate. Call quality is excellent.,Positive
410,Display feels dim under sunlight. The back panel attracts fingerprints easily. Battery backup is solid and lasts all day.,Neutral
411,Smooth display experience because of high refresh rate.,Negative
412,"Camera quality is mediocre, especially indoors. Multitasking works flawlessly. Sound crackles at high volume.",Neutral
