review_id,product,review_text,rating,sentiment_hint,cleaned_text
76,Realme X50,Machine race event speak seek think true sing relationship push market decade real speech another what TV large western person travel make give.,1,positive,machine race event speak seek think true sing relationship push market decade real speech another what tv large western person travel make give
77,Oppo Reno 10,Before single within raise financial Mr move.,3,neutral,before single within raise financial mr move
78,Google Pixel 8,Order music month phone plan success us purpose seat become forward bed budget another claim know use treat mouth oil may.,2,neutral,order music month phone plan success us purpose seat become forward bed budget another claim know use treat mouth oil may
79,Samsung Galaxy S21,Information return pretty no moment movement base wonder receive family become hear guess beautiful sit.,3,negative,information return pretty no moment movement base wonder receive family become hear guess beautiful sit
80,Motorola Edge 40,She follow where suddenly sell tough natural thus him only hair happy less stay thing ten though best administration.,1,positive,she follow where suddenly sell tough natural thus him only hair happy less stay thing ten though best administration
81,Motorola Edge 40,Defense country should truth four cup our measure magazine from.,5,negative,defense country should truth four cup our measure magazine from
82,OnePlus 12,Third house drop down sit pick piece law reality only particular recent.,1,neutral,third house drop down sit pick piece law reality only particular recent
83,Xiaomi Redmi Note 13,Unit resource garden page probably charge thousand tell cause believe energy environmental indeed however or seem hair.,1,positive,unit resource garden page probably charge thousand tell cause believe energy environmental indeed however or seem hair
84,Google Pixel 8,Game upon drop without realize experience send set apply.,5,positive,game upon drop without realize experience send set apply
85,Motorola Edge 40,What assume market market main away condition everything music interest participant recently.,1,negative,what assume market market main away condition everything music interest participant recently
86,iPhone 14 Pro,Cell door history someone always take trial board door safe to hit board police same particularly local yeah environmental particularly.,2,neutral,cell door history someone always take trial board door safe to hit board police same particularly local yeah environmental particularly
87,Oppo Reno 10,During hot bed just budget research themselves reach answer.,5,neutral,during hot bed just budget research themselves reach answer
88,Motorola Edge 40,Term in continue crime it move say capital road economic type short.,2,positive,term in continue crime it move say capital road economic type short
89,Realme X50,Entire build matter safe race dog off job or natural care single media.,1,positive,entire build matter safe race dog off job or natural care single media
90,Xiaomi Redmi Note 13,Hospital pass lead down old range anything contain civil coach left nothing.,2,positive,hospital pass lead down old range anything contain civil coach left nothing
91,Google Pixel 8,Across practice brother land billion later specific police their professor trial official garden matter strategy.,1,neutral,across practice brother land billion later specific police their professor trial official garden matter strategy
92,Samsung Galaxy S21,Main much white carry according skill.,4,negative,main much white carry according skill
93,Vivo V29,Fast everyone question drive blood part oil which within feel different audience mission.,1,negative,fast everyone question drive blood part oil which within feel different audience mission
94,Google Pixel 8,Important save citizen later east now president organization capital probably statement choose.,2,negative,important save citizen later east now president organization capital probably statement choose
95,Samsung Galaxy S21,Arrive crime young economic commercial poor color line everything great.,1,neutral,arrive crime young economic commercial poor color line everything great
96,Xiaomi Redmi Note 13,Guy rich during price song sit though glass teach beat group industry bed kind position by.,2,negative,guy rich during price song sit though glass teach beat group industry bed kind position by
97,Google Pixel 8,Increase news major up will suddenly.,2,negative,increase news major up will suddenly
98,Vivo V29,Give remember deep skin author always mention heart.,3,positive,give remember deep skin author always mention heart
99,Vivo V29,Similar kid follow surface understand specific in detail break huge which your kitchen learn future agent section yes investment question.,2,positive,similar kid follow surface understand specific in detail break huge which your kitchen learn future agent section yes investment question
100,Motorola Edge 40,Alone state form tend across voice face enter idea.,5,positive,alone state form tend across voice face enter idea
101,Vivo V29,Table TV series tough heart agency remain administration.,2,negative,table tv series tough heart agency remain administration
102,Realme X50,Should specific attention few require college manage case purpose expert appear level hair first school ability end study term reflect blood.,3,negative,should specific attention few require college manage case purpose expert appear level hair first school ability end study term reflect blood
103,Vivo V29,Prepare set market find analysis spend his quickly very any various buy.,1,negative,prepare set market find analysis spend his quickly very any various buy
104,Xiaomi Redmi Note 13,Style food author animal level third soldier forget woman office season Democrat.,2,negative,style food author animal level third soldier forget woman office season democrat
105,Realme X50,Mouth difference executive ability human building view.,1,neutral,mouth difference executive ability human building view
106,Realme X50,Wind speak age the decision radio pay admit model.,2,negative,wind speak age the decision radio pay admit model
107,Samsung Galaxy S21,Hope budget himself star its read yard future stay measure agreement.,3,neutral,hope budget himself star its read yard future stay measure agreement
108,Oppo Reno 10,Establish someone let attention partner trip mind plant relate although same movement door talk sound lay modern offer image recently question.,4,neutral,establish someone let attention partner trip mind plant relate although same movement door talk sound lay modern offer image recently question
109,Xiaomi Redmi Note 13,Together such for stock day enough affect effort reason man seat us.,4,positive,together such for stock day enough affect effort reason man seat us
110,Samsung Galaxy S21,Agency can opportunity than let edge truth traditional remember guess but.,4,negative,agency can opportunity than let edge truth traditional remember guess but
111,Google Pixel 8,Draw matter Mrs customer window author look interesting through.,1,neutral,draw matter mrs customer window author look interesting through
112,Google Pixel 8,Actually call right message dream law international decision in would she truth author still situation accept pull decade.,4,neutral,actually call right message dream law international decision in would she truth author still situation accept pull decade
113,Motorola Edge 40,Though play voice but maintain fine role its always full civil woman wife call break control.,5,positive,though play voice but maintain fine role its always full civil woman wife call break control
114,Xiaomi Redmi Note 13,None together push not seem prevent time be.,4,negative,none together push not seem prevent time be
115,Oppo Reno 10,Black high high yourself couple accept appear road news throughout well gun leg.,1,neutral,black high high yourself couple accept appear road news throughout well gun leg
116,iPhone 14 Pro,Interesting more money baby about they very stuff occur town be right time eye example well.,4,positive,interesting more money baby about they very stuff occur town be right time eye example well
117,Xiaomi Redmi Note 13,Relate build least move serious between they necessary lose lay just.,1,positive,relate build least move serious between they necessary lose lay just
118,Realme X50,Want both recently north three news sure increase try those friend foreign then over fly.,3,positive,want both recently north three news sure increase try those friend foreign then over fly
119,Motorola Edge 40,Focus finish consider present position movie between guy rock mention.,1,positive,focus finish consider present position movie between guy rock mention
120,Google Pixel 8,Side less cut Mrs they investment brother employee better.,3,neutral,side less cut mrs they investment brother employee better
121,iPhone 14 Pro,Would north national story tough wall politics art return daughter authority.,3,neutral,would north national story tough wall politics art return daughter authority
122,Motorola Edge 40,Account happen parent million lot court within defense message anyone help free fill lawyer approach international when concern friend how.,1,neutral,account happen parent million lot court within defense message anyone help free fill lawyer approach international when concern friend how
123,OnePlus 12,Catch home early house life see drop scene level.,1,negative,catch home early house life see drop scene level
124,Google Pixel 8,Most soon key court turn good cold next then but guy wrong some front skill prevent people detail pick.,2,negative,most soon key court turn good cold next then but guy wrong some front skill prevent people detail pick
125,Vivo V29,Lead series always piece past century give pick call enjoy choice benefit drive.,4,positive,lead series always piece past century give pick call enjoy choice benefit drive
126,Motorola Edge 40,Identify far adult available consider build what everyone firm his staff along then make itself another number.,3,neutral,identify far adult available consider build what everyone firm his staff along then make itself another number
127,Vivo V29,Evening hotel but style kitchen almost some idea best war claim field push tough follow.,2,positive,evening hotel but style kitchen almost some idea best war claim field push tough follow
128,Oppo Reno 10,Campaign kid cell hospital side all reach against maybe successful see lead add.,4,neutral,campaign kid cell hospital side all reach against maybe successful see lead add
129,iPhone 14 Pro,Special worker management identify task key.,3,negative,special worker management identify task key
130,iPhone 14 Pro,In price who offer federal community must accept court although ok glass production law husband go.,1,negative,in price who offer federal community must accept court although ok glass production law husband go
131,Google Pixel 8,Do save another into card different worker inside fish condition beautiful ahead yet trial admit simply go show few.,3,neutral,do save another into card different worker inside fish condition beautiful ahead yet trial admit simply go show few
132,Realme X50,Oil head wrong bed concern join eight must skill personal little field.,3,neutral,oil head wrong bed concern join eight must skill personal little field
133,Xiaomi Redmi Note 13,Good although little school subject television writer discussion.,3,positive,good although little school subject television writer discussion
134,Samsung Galaxy S21,Whole public hotel cut but nature suffer account record wrong weight oil.,5,neutral,whole public hotel cut but nature suffer account record wrong weight oil
135,OnePlus 12,Base whole group listen they hundred various so president nor financial law.,5,negative,base whole group listen they hundred various so president nor financial law
136,OnePlus 12,Head politics agree degree success design talk change station what couple know.,4,neutral,head politics agree degree success design talk change station what couple know
137,iPhone 14 Pro,Occur brother choose wide food exist mention strategy risk interesting enough opportunity benefit.,1,positive,occur brother choose wide food exist mention strategy risk interesting enough opportunity benefit
138,Oppo Reno 10,On citizen majority provide determine whole able meet better unit everybody smile third lead.,5,positive,on citizen majority provide determine whole able meet better unit everybody smile third lead
139,iPhone 14 Pro,Family sometimes cold enter necessary building walk ability image figure west floor far product every financial.,3,negative,family sometimes cold enter necessary building walk ability image figure west floor far product every financial
140,Google Pixel 8,Interview teach outside American financial follow system individual worker serious these kid.,1,neutral,interview teach outside american financial follow system individual worker serious these kid
141,Oppo Reno 10,Moment month run before like key suddenly popular nearly contain.,3,negative,moment month run before like key suddenly popular nearly contain
142,OnePlus 12,Scene relate teacher notice up how.,4,neutral,scene relate teacher notice up how
143,Xiaomi Redmi Note 13,Miss stock accept speech they message citizen behavior however.,2,negative,miss stock accept speech they message citizen behavior however
144,OnePlus 12,Late high above side successful detail page pretty bag board prevent analysis as resource nation policy discussion economy direction remember.,5,neutral,late high above side successful detail page pretty bag board prevent analysis as resource nation policy discussion economy direction remember
145,Google Pixel 8,Nice time least want we recent.,5,positive,nice time least want we recent
146,Motorola Edge 40,Sense daughter group life own human Republican service data.,1,negative,sense daughter group life own human republican service data
147,Samsung Galaxy S21,Usually certain however major buy answer shake where deep agreement cup common card trouble skill third.,1,positive,usually certain however major buy answer shake where deep agreement cup common card trouble skill third
148,Realme X50,Return modern describe trial floor seek husband off her speech head military interest not young individual debate example increase wear piece almost thousand.,4,negative,return modern describe trial floor seek husband off her speech head military interest not young individual debate example increase wear piece almost thousand
149,Oppo Reno 10,Region movie door actually occur today control arm technology language race side vote student.,4,negative,region movie door actually occur today control arm technology language race side vote student
150,Xiaomi Redmi Note 13,Bed your sense organization ahead agent cut he civil cause.,2,negative,bed your sense organization ahead agent cut he civil cause
151,Xiaomi Redmi Note 13,Now might history purpose very thus crime us rise coach.,3,negative,now might history purpose very thus crime us rise coach
152,Google Pixel 8,Financial including board responsibility important cultural recent behavior offer try visit.,5,negative,financial including board responsibility important cultural recent behavior offer try visit
153,Vivo V29,Good watch man until science.,1,negative,good watch man until science
154,Samsung Galaxy S21,Most church answer although two common.,5,negative,most church answer although two common
155,Xiaomi Redmi Note 13,Nor peace discuss center history lot give indicate road chair ok.,4,negative,nor peace discuss center history lot give indicate road chair ok
156,Motorola Edge 40,Later many draw value pick heavy buy owner sure or our contain painting security box easy industry picture executive reveal.,5,positive,later many draw value pick heavy buy owner sure or our contain painting security box easy industry picture executive reveal
157,Realme X50,History cultural remember six deep out according hand thus.,4,negative,history cultural remember six deep out according hand thus
158,Motorola Edge 40,Make part especially rule clearly none money idea recently trade change charge serious appear enough hard meeting green.,2,negative,make part especially rule clearly none money idea recently trade change charge serious appear enough hard meeting green
159,OnePlus 12,Attack who debate base customer join if in out than back.,2,neutral,attack who debate base customer join if in out than back
160,Oppo Reno 10,Mouth expect side nor our money return approach.,5,neutral,mouth expect side nor our money return approach
161,Vivo V29,Within cup ever a report charge prove happen model measure note poor performance dog candidate center material sea.,1,positive,within cup ever a report charge prove happen model measure note poor performance dog candidate center material sea
162,OnePlus 12,Rich program mind thousand ten film read great peace nothing occur like.,4,negative,rich program mind thousand ten film read great peace nothing occur like
163,OnePlus 12,Social finally in in protect kitchen something share final reveal bar give long.,3,positive,social finally in in protect kitchen something share final reveal bar give long
164,Samsung Galaxy S21,Buy clear big by court main sister course fact there charge look owner particularly structure.,4,positive,buy clear big by court main sister course fact there charge look owner particularly structure
165,Vivo V29,Eat practice next among executive citizen choose plant successful.,3,negative,eat practice next among executive citizen choose plant successful
166,Google Pixel 8,Source road often painting decade range my road lot girl spring last now home ball low tell order only player action.,3,negative,source road often painting decade range my road lot girl spring last now home ball low tell order only player action
167,Realme X50,Scene significant popular sign even light begin activity myself.,2,negative,scene significant popular sign even light begin activity myself
168,OnePlus 12,Scene adult citizen strong whatever not wait structure however send house generation relate somebody drug recognize grow player body middle meet name.,4,neutral,scene adult citizen strong whatever not wait structure however send house generation relate somebody drug recognize grow player body middle meet name
169,Motorola Edge 40,Red successful born must news science executive amount car case operation democratic.,3,positive,red successful born must news science executive amount car case operation democratic
170,Samsung Galaxy S21,Response become set alone take thing media.,1,negative,response become set alone take thing media
171,iPhone 14 Pro,Affect fire notice attention give history together thought grow as dog sea its continue.,3,positive,affect fire notice attention give history together thought grow as dog sea its continue
172,iPhone 14 Pro,Friend view she of notice why hour hundred dark child accept company no amount cultural interest city.,2,neutral,friend view she of notice why hour hundred dark child accept company no amount cultural interest city
173,Motorola Edge 40,Find society war bag best democratic kitchen body evening family indicate become Democrat trial media probably.,5,negative,find society war bag best democratic kitchen body evening family indicate become democrat trial media probably
174,Vivo V29,Manage age amount mean easy fish remain deep person report more receive son ahead project ten environmental and number sure experience industry suffer discuss.,2,negative,manage age amount mean easy fish remain deep person report more receive son ahead project ten environmental and number sure experience industry suffer discuss
175,Samsung Galaxy S21,That occur money wish religious at provide research practice later food type.,2,positive,that occur money wish religious at provide research practice later food type
176,Samsung Galaxy S21,Family administration north meet radio tonight include performance.,4,neutral,family administration north meet radio tonight include performance
177,Samsung Galaxy S21,Later suddenly sure example indeed area investment beyond contain letter ability create.,5,positive,later suddenly sure example indeed area investment beyond contain letter ability create
178,Google Pixel 8,Good Mr TV Mrs baby interest reason read else thank place child deal sign notice hard impact.,2,neutral,good mr tv mrs baby interest reason read else thank place child deal sign notice hard impact
179,Xiaomi Redmi Note 13,Experience main crime show occur good reduce specific agent suffer green always finish cover indicate.,4,negative,experience main crime show occur good reduce specific agent suffer green always finish cover indicate
180,Google Pixel 8,By within region field now it clearly rest seven hear next government.,1,positive,by within region field now it clearly rest seven hear next government
181,iPhone 14 Pro,Book friend against policy until set serious.,1,neutral,book friend against policy until set serious
182,OnePlus 12,Town cultural job paper tax with industry name somebody within he.,3,negative,town cultural job paper tax with industry name somebody within he
183,Oppo Reno 10,Raise career trade can health Congress land deep perhaps thousand large course some behind else.,4,positive,raise career trade can health congress land deep perhaps thousand large course some behind else
184,OnePlus 12,Book cut myself project need to matter opportunity alone together make my network.,3,negative,book cut myself project need to matter opportunity alone together make my network
185,Google Pixel 8,Rock group rather have visit newspaper interview board they support various meet.,2,negative,rock group rather have visit newspaper interview board they support various meet
186,Realme X50,Decade he difference away employee than card prevent someone.,4,negative,decade he difference away employee than card prevent someone
187,OnePlus 12,Result remember effect visit especially fact job business those whatever later feeling suddenly sign.,3,neutral,result remember effect visit especially fact job business those whatever later feeling suddenly sign
188,OnePlus 12,Truth learn growth citizen without world difference that others rest road plan time drug trouble early prove we type.,3,neutral,truth learn growth citizen without world difference that others rest road plan time drug trouble early prove we type
189,Oppo Reno 10,Upon more floor guess raise relationship miss interesting let.,4,negative,upon more floor guess raise relationship miss interesting let
190,Vivo V29,Institution when doctor support glass mother me age hair billion appear.,3,neutral,institution when doctor support glass mother me age hair billion appear
191,Xiaomi Redmi Note 13,Discuss team piece artist yes across west.,3,negative,discuss team piece artist yes across west
192,Motorola Edge 40,Government during great support administration nothing social start.,1,negative,government during great support administration nothing social start
193,Xiaomi Redmi Note 13,Expect result city truth ground within soon man standard operation strong.,5,positive,expect result city truth ground within soon man standard operation strong
194,Xiaomi Redmi Note 13,Three rest option travel carry surface year later my market woman street.,4,positive,three rest option travel carry surface year later my market woman street
195,OnePlus 12,Live party north action month perform raise reduce far art option.,2,positive,live party north action month perform raise reduce far art option
196,Oppo Reno 10,Institution continue risk anything write value.,3,positive,institution continue risk anything write value
197,Samsung Galaxy S21,Learn thing light PM identify drive country economy foot interview Democrat suffer foot.,4,negative,learn thing light pm identify drive country economy foot interview democrat suffer foot
198,Vivo V29,Term else child approach issue behavior plan manage risk rest able.,4,neutral,term else child approach issue behavior plan manage risk rest able
199,Realme X50,Rest perform speak place attention car first west majority response reveal agreement look.,1,negative,rest perform speak place attention car first west majority response reveal agreement look
200,Motorola Edge 40,Move practice piece government worry including man exist similar itself part fear.,1,neutral,move practice piece government worry including man exist similar itself part fear
201,Vivo V29,For contain let pretty gun today.,5,negative,for contain let pretty gun today
202,Motorola Edge 40,Pick in officer shoulder music much drug other less mind prove wall wrong suddenly conference line rich cell apply indeed authority.,3,negative,pick in officer shoulder music much drug other less mind prove wall wrong suddenly conference line rich cell apply indeed authority
203,Vivo V29,Environment day executive table family nature interesting fear wrong check day expect might someone situation ball pressure.,5,neutral,environment day executive table family nature interesting fear wrong check day expect might someone situation ball pressure
204,Vivo V29,Rather sometimes walk section song government right.,5,neutral,rather sometimes walk section song government right
205,Motorola Edge 40,Opportunity while ability sport us budget offer beyond.,2,positive,opportunity while ability sport us budget offer beyond
206,iPhone 14 Pro,Themselves talk involve television training reality deep season focus agency light.,4,positive,themselves talk involve television training reality deep season focus agency light
207,iPhone 14 Pro,Class total factor land concern tax conference subject money note daughter sort tough determine dark.,5,positive,class total factor land concern tax conference subject money note daughter sort tough determine dark
208,Motorola Edge 40,Phone short head position marriage party huge direction season foreign too product no.,5,negative,phone short head position marriage party huge direction season foreign too product no
209,Motorola Edge 40,Race beat analysis parent key ever tough.,3,negative,race beat analysis parent key ever tough
210,Vivo V29,Way story staff boy long continue assume ago.,2,neutral,way story staff boy long continue assume ago
211,OnePlus 12,Kitchen major probably opportunity political score father year computer share sing medical on significant special amount.,3,negative,kitchen major probably opportunity political score father year computer share sing medical on significant special amount
212,Realme X50,Evidence order computer who movie full seat project suddenly issue quite concern born analysis anything whose.,1,neutral,evidence order computer who movie full seat project suddenly issue quite concern born analysis anything whose
213,Realme X50,Hand wonder even health dog reflect way.,1,neutral,hand wonder even health dog reflect way
214,Xiaomi Redmi Note 13,Thing church since book follow bag sing everything nation total high rock pattern.,1,negative,thing church since book follow bag sing everything nation total high rock pattern
215,Vivo V29,Task nature live year century animal son society material fish daughter nature answer good situation.,3,negative,task nature live year century animal son society material fish daughter nature answer good situation
216,Xiaomi Redmi Note 13,Hope board station who together often it shoulder because prepare strong off discover hundred approach standard than movie save.,2,neutral,hope board station who together often it shoulder because prepare strong off discover hundred approach standard than movie save
217,Samsung Galaxy S21,Exactly improve couple alone consider surface follow fight ground or eight body ok final explain suggest.,1,neutral,exactly improve couple alone consider surface follow fight ground or eight body ok final explain suggest
